company_name,ticker,sector
3i,III.L,Financial Services
Admiral Group,ADM.L,Nonlife Insurance
Anglo American plc,AAL.L,Mining
Antofagasta,ANTO.L,Mining
Ashtead Group,AHT.L,Support Services
Associated British Foods,ABF.L,Food Producers
AstraZeneca,AZN.L,Pharmaceuticals & Biotechnology
Aviva,AV..L,Life Insurance
BAE Systems,BA..L,Aerospace & Defense
Barclays,BARC.L,Banks
Barratt Developments,BDEV.L,Household Goods & Home Construction
Berkeley Group Holdings,BKG.L,Household Goods & Home Construction
BHP,BLT.L,Mining
BP,BP..L,Oil & Gas Producers
British American Tobacco,BATS.L,Tobacco
British Land,BLND.L,Real Estate Investment Trusts
BT Group,BT.A.L,Fixed Line Telecommunications
Bunzl,BNZL.L,Support Services
Burberry,BRBY.L,Personal Goods
Carnival Corporation & plc,CCL.L,Travel & Leisure
Centrica,CNA.L,"Gas, Water & Multiutilities"
Coca-Cola HBC AG,CCH.L,Beverages
Compass Group,CPG.L,Travel & Leisure
CRH plc,CRH.L,Construction & Materials
Croda International,CRDA.L,Chemicals
DCC plc,DCC.L,Support Services
Diageo,DGE.L,Beverages
Direct Line Group,DLG.L,Nonlife Insurance
easyJet,EZJ.L,Travel & Leisure
Evraz,EVR.L,Industrial Metals & Mining
Experian,EXPN.L,Support Services
Ferguson plc,FERG.L,Support Services
Fresnillo plc,FRES.L,Mining
G4S,GFS.L,Support Services
GKN,GKN.L,Automobiles & Parts
GlaxoSmithKline,GSK.L,Pharmaceuticals & Biotechnology
Glencore,GLEN.L,Mining
Halma,HLMA.L,Electronic & Electrical Equipment
Hammerson,HMSO.L,Real Estate Investment Trusts
Hargreaves Lansdown,HL..L,Financial Services
HSBC,HSBA.L,Banks
Imperial Brands,IMB.L,Tobacco
Informa,INF.L,Media
InterContinental Hotels Group,IHG.L,Travel & Leisure
International Airlines Group,IAG.L,Travel & Leisure
Intertek,ITRK.L,Support Services
ITV plc,ITV.L,Media
Johnson Matthey,JMAT.L,Chemicals
Just Eat,JE..L,General Retailers
Kingfisher plc,KGF.L,General Retailers
Land Securities,LAND.L,Real Estate Investment Trusts
Legal & General,LGEN.L,Life Insurance
Lloyds Banking Group,LLOY.L,Banks
London Stock Exchange Group,LSE.L,Financial Services
Marks & Spencer,MKS.L,General Retailers
Mediclinic International,MDC.L,Health Care Equipment & Services
Micro Focus,MCRO.L,Software & Computer Services
Mondi,MNDI.L,Forestry & Paper
Morrisons,MRW.L,Food & Drug Retailers
National Grid plc,NG..L,"Gas, Water & Multiutilities"
Next plc,NXT.L,General Retailers
NMC Health,NMC.L,Health Care Equipment & Services
Old Mutual,OML.L,Life Insurance
Paddy Power Betfair,PPB.L,Travel & Leisure
Pearson PLC,PSON.L,Media
Persimmon plc,PSN.L,Household Goods & Home Construction
Prudential plc,PRU.L,Life Insurance
Randgold Resources,RRS.L,Mining
Reckitt Benckiser,RB..L,Household Goods & Home Construction
RELX Group,REL.L,Media
Rentokil Initial,RTO.L,Support Services
Rio Tinto Group,RIO.L,Mining
Rolls-Royce Holdings,RR..L,Aerospace & Defense
The Royal Bank of Scotland Group,RBS.L,Banks
Royal Dutch Shell,RDSA.L,Oil & Gas Producers
RSA Insurance Group,RSA.L,Nonlife Insurance
Sage Group,SGE.L,Software & Computer Services
Sainsbury's,SBRY.L,Food & Drug Retailers
Schroders,SDR.L,Financial Services
Scottish Mortgage Investment Trust,SMT.L,Equity Investment Instruments
Segro,SGRO.L,Real Estate Investment Trusts
Severn Trent,SVT.L,"Gas, Water & Multiutilities"
Shire plc,SHP.L,Pharmaceuticals & Biotechnology
Sky plc,SKY.L,Media
Smith & Nephew,SN..L,Health Care Equipment & Services
"Smith, D.S.",SMDS.L,General Industrials
Smiths Group,SMIN.L,General Industrials
Smurfit Kappa,SKG.L,General Industrials
SSE plc,SSE.L,Electricity
Standard Chartered,STAN.L,Banks
Standard Life Aberdeen,SLA.L,Financial Services
St. James's Place plc,STJ.L,Life Insurance
Taylor Wimpey,TW..L,Household Goods & Home Construction
Tesco,TSCO.L,Food & Drug Retailers
TUI Group,TUI.L,Travel & Leisure
Unilever,ULVR.L,Personal Goods
United Utilities,UU..L,"Gas, Water & Multiutilities"
Vodafone Group,VOD.L,Mobile Telecommunications
Whitbread,WTB.L,Retail hospitality
WPP plc,WPP.L,Media
